Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EM","Emissions indicators","124","Canada","7265","Emissions Share (CH4)","6996","Farm gate","2022","2022","%","24.33","E","Estimated value"
"EM","Emissions indicators","124","Canada","7265","Emissions Share (CH4)","6996","Farm gate","2023","2023","%","23.77","E","Estimated value"
"EM","Emissions indicators","124","Canada","7266","Emissions Share (N2O)","6996","Farm gate","2016","2016","%","81.75","E","Estimated value"
"EM","Emissions indicators","124","Canada","7266","Emissions Share (N2O)","6996","Farm gate","2017","2017","%","81.14","E","Estimated value"
"EM","Emissions indicators","124","Canada","7266","Emissions Share (N2O)","6996","Farm gate","2018","2018","%","79.98","E","Estimated value"
"EM","Emissions indicators","124","Canada","7266","Emissions Share (N2O)","6996","Farm gate","2019","2019","%","81.37","E","Estimated value"
"EM","Emissions indicators","124","Canada","7266","Emissions Share (N2O)","6996","Farm gate","2020","2020","%","85.05","E","Estimated value"
"EM","Emissions indicators","124","Canada","7266","Emissions Share (N2O)","6996","Farm gate","2021","2021","%","80.72","E","Estimated value"
"EM","Emissions indicators","124","Canada","7266","Emissions Share (N2O)","6996","Farm gate","2022","2022","%","83.06","E","Estimated value"
"EM","Emissions indicators","124","Canada","7266","Emissions Share (N2O)","6996","Farm gate","2023","2023","%","72.28","E","Estimated value"
"EM","Emissions indicators","124","Canada","7279","Emissions per capita","6996","Farm gate","2016","2016","t CO2eq/cap","3.28","E","Estimated value"
"EM","Emissions indicators","124","Canada","7279","Emissions per capita","6996","Farm gate","2017","2017","t CO2eq/cap","3.28","E","Estimated value"
"EM","Emissions indicators","124","Canada","7279","Emissions per capita","6996","Farm gate","2018","2018","t CO2eq/cap","3.32","E","Estimated value"
"EM","Emissions indicators","124","Canada","7279","Emissions per capita","6996","Farm gate","2019","2019","t CO2eq/cap","3.23","E","Estimated value"
"EM","Emissions indicators","124","Canada","7279","Emissions per capita","6996","Farm gate","2020","2020","t CO2eq/cap","3.23","E","Estimated value"
"EM","Emissions indicators","124","Canada","7279","Emissions per capita","6996","Farm gate","2021","2021","t CO2eq/cap","3.2","E","Estimated value"
"EM","Emissions indicators","124","Canada","7279","Emissions per capita","6996","Farm gate","2022","2022","t CO2eq/cap","3.16","E","Estimated value"
"EM","Emissions indicators","124","Canada","7279","Emissions per capita","6996","Farm gate","2023","2023","t CO2eq/cap","3.26","E","Estimated value"
"EM","Emissions indicators","124","Canada","72791","Emissions per value of agricultural production","6996","Farm gate","2016","2016","kg CO2eq/Int$","2.44","E","Estimated value"
"EM","Emissions indicators","124","Canada","72791","Emissions per value of agricultural production","6996","Farm gate","2017","2017","kg CO2eq/Int$","2.44","E","Estimated value"
"EM","Emissions indicators","124","Canada","72791","Emissions per value of agricultural production","6996","Farm gate","2018","2018","kg CO2eq/Int$","2.48","E","Estimated value"
"EM","Emissions indicators","124","Canada","72791","Emissions per value of agricultural production","6996","Farm gate","2019","2019","kg CO2eq/Int$","2.42","E","Estimated value"
"EM","Emissions indicators","124","Canada","72791","Emissions per value of agricultural production","6996","Farm gate","2020","2020","kg CO2eq/Int$","2.38","E","Estimated value"
"EM","Emissions indicators","124","Canada","72791","Emissions per value of agricultural production","6996","Farm gate","2021","2021","kg CO2eq/Int$","2.8","E","Estimated value"
"EM","Emissions indicators","124","Canada","72791","Emissions per value of agricultural production","6996","Farm gate","2022","2022","kg CO2eq/Int$","2.39","E","Estimated value"
"EM","Emissions indicators","124","Canada","72791","Emissions per value of agricultural production","6996","Farm gate","2023","2023","kg CO2eq/Int$","2.6","E","Estimated value"
"EM","Emissions indicators","124","Canada","72792","Emissions per area of agricultural land","6996","Farm gate","2016","2016","t CO2eq/ha","2.06","E","Estimated value"
"EM","Emissions indicators","124","Canada","72792","Emissions per area of agricultural land","6996","Farm gate","2017","2017","t CO2eq/ha","2.09","E","Estimated value"
"EM","Emissions indicators","124","Canada","72792","Emissions per area of agricultural land","6996","Farm gate","2018","2018","t CO2eq/ha","2.14","E","Estimated value"
"EM","Emissions indicators","124","Canada","72792","Emissions per area of agricultural land","6996","Farm gate","2019","2019","t CO2eq/ha","2.11","E","Estimated value"
"EM","Emissions indicators","124","Canada","72792","Emissions per area of agricultural land","6996","Farm gate","2020","2020","t CO2eq/ha","2.16","E","Estimated value"
"EM","Emissions indicators","124","Canada","72792","Emissions per area of agricultural land","6996","Farm gate","2021","2021","t CO2eq/ha","2.16","E","Estimated value"
"EM","Emissions indicators","124","Canada","72792","Emissions per area of agricultural land","6996","Farm gate","2022","2022","t CO2eq/ha","2.15","E","Estimated value"
"EM","Emissions indicators","124","Canada","72792","Emissions per area of agricultural land","6996","Farm gate","2023","2023","t CO2eq/ha","2.25","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6516","Land-use change","2016","2016","%","5.69","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6516","Land-use change","2017","2017","%","5.47","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6516","Land-use change","2018","2018","%","5.4","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6516","Land-use change","2019","2019","%","5.41","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6516","Land-use change","2020","2020","%","5.85","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6516","Land-use change","2021","2021","%","10.33","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6516","Land-use change","2022","2022","%","10.19","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6516","Land-use change","2023","2023","%","9.95","E","Estimated value"
"EM","Emissions indicators","124","Canada","7264","Emissions Share (CO2)","6516","Land-use change","2016","2016","%","7.02","E","Estimated value"
"EM","Emissions indicators","124","Canada","7264","Emissions Share (CO2)","6516","Land-use change","2017","2017","%","6.71","E","Estimated value"
"EM","Emissions indicators","124","Canada","7264","Emissions Share (CO2)","6516","Land-use change","2018","2018","%","6.66","E","Estimated value"
"EM","Emissions indicators","124","Canada","7264","Emissions Share (CO2)","6516","Land-use change","2019","2019","%","6.64","E","Estimated value"
"EM","Emissions indicators","124","Canada","7264","Emissions Share (CO2)","6516","Land-use change","2020","2020","%","7.17","E","Estimated value"
"EM","Emissions indicators","124","Canada","7264","Emissions Share (CO2)","6516","Land-use change","2021","2021","%","12.79","E","Estimated value"
"EM","Emissions indicators","124","Canada","7264","Emissions Share (CO2)","6516","Land-use change","2022","2022","%","12.56","E","Estimated value"
"EM","Emissions indicators","124","Canada","7264","Emissions Share (CO2)","6516","Land-use change","2023","2023","%","12.57","E","Estimated value"
"EM","Emissions indicators","124","Canada","7265","Emissions Share (CH4)","6516","Land-use change","2016","2016","%","0","E","Estimated value"
"EM","Emissions indicators","124","Canada","7265","Emissions Share (CH4)","6516","Land-use change","2017","2017","%","0","E","Estimated value"
"EM","Emissions indicators","124","Canada","7265","Emissions Share (CH4)","6516","Land-use change","2018","2018","%","0","E","Estimated value"
"EM","Emissions indicators","124","Canada","7265","Emissions Share (CH4)","6516","Land-use change","2019","2019","%","0","E","Estimated value"
"EM","Emissions indicators","124","Canada","7265","Emissions Share (CH4)","6516","Land-use change","2020","2020","%","0","E","Estimated value"
"EM","Emissions indicators","124","Canada","7265","Emissions Share (CH4)","6516","Land-use change","2021","2021","%","0","E","Estimated value"
"EM","Emissions indicators","124","Canada","7265","Emissions Share (CH4)","6516","Land-use change","2022","2022","%","0","E","Estimated value"
"EM","Emissions indicators","124","Canada","7265","Emissions Share (CH4)","6516","Land-use change","2023","2023","%","0","E","Estimated value"
"EM","Emissions indicators","124","Canada","7266","Emissions Share (N2O)","6516","Land-use change","2016","2016","%","0","E","Estimated value"
"EM","Emissions indicators","124","Canada","7266","Emissions Share (N2O)","6516","Land-use change","2017","2017","%","0","E","Estimated value"
"EM","Emissions indicators","124","Canada","7266","Emissions Share (N2O)","6516","Land-use change","2018","2018","%","0","E","Estimated value"
"EM","Emissions indicators","124","Canada","7266","Emissions Share (N2O)","6516","Land-use change","2019","2019","%","0","E","Estimated value"
"EM","Emissions indicators","124","Canada","7266","Emissions Share (N2O)","6516","Land-use change","2020","2020","%","0","E","Estimated value"
"EM","Emissions indicators","124","Canada","7266","Emissions Share (N2O)","6516","Land-use change","2021","2021","%","0","E","Estimated value"
"EM","Emissions indicators","124","Canada","7266","Emissions Share (N2O)","6516","Land-use change","2022","2022","%","0","E","Estimated value"
"EM","Emissions indicators","124","Canada","7266","Emissions Share (N2O)","6516","Land-use change","2023","2023","%","0","E","Estimated value"
"EM","Emissions indicators","124","Canada","7279","Emissions per capita","6516","Land-use change","2016","2016","t CO2eq/cap","1.45","E","Estimated value"
"EM","Emissions indicators","124","Canada","7279","Emissions per capita","6516","Land-use change","2017","2017","t CO2eq/cap","1.43","E","Estimated value"
"EM","Emissions indicators","124","Canada","7279","Emissions per capita","6516","Land-use change","2018","2018","t CO2eq/cap","1.41","E","Estimated value"
"EM","Emissions indicators","124","Canada","7279","Emissions per capita","6516","Land-use change","2019","2019","t CO2eq/cap","1.4","E","Estimated value"
"EM","Emissions indicators","124","Canada","7279","Emissions per capita","6516","Land-use change","2020","2020","t CO2eq/cap","1.38","E","Estimated value"
"EM","Emissions indicators","124","Canada","7279","Emissions per capita","6516","Land-use change","2021","2021","t CO2eq/cap","2.41","E","Estimated value"
"EM","Emissions indicators","124","Canada","7279","Emissions per capita","6516","Land-use change","2022","2022","t CO2eq/cap","2.39","E","Estimated value"
"EM","Emissions indicators","124","Canada","7279","Emissions per capita","6516","Land-use change","2023","2023","t CO2eq/cap","2.36","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6517","Pre- and post-production","2016","2016","%","7.69","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6517","Pre- and post-production","2017","2017","%","7.5","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6517","Pre- and post-production","2018","2018","%","7.11","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6517","Pre- and post-production","2019","2019","%","7.05","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6517","Pre- and post-production","2020","2020","%","8.04","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6517","Pre- and post-production","2021","2021","%","7.99","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6517","Pre- and post-production","2022","2022","%","8.04","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6517","Pre- and post-production","2023","2023","%","7.87","E","Estimated value"
"EM","Emissions indicators","124","Canada","7264","Emissions Share (CO2)","6517","Pre- and post-production","2016","2016","%","7.72","E","Estimated value"
"EM","Emissions indicators","124","Canada","7264","Emissions Share (CO2)","6517","Pre- and post-production","2017","2017","%","7.44","E","Estimated value"
"EM","Emissions indicators","124","Canada","7264","Emissions Share (CO2)","6517","Pre- and post-production","2018","2018","%","6.92","E","Estimated value"
"EM","Emissions indicators","124","Canada","7264","Emissions Share (CO2)","6517","Pre- and post-production","2019","2019","%","6.84","E","Estimated value"
"EM","Emissions indicators","124","Canada","7264","Emissions Share (CO2)","6517","Pre- and post-production","2020","2020","%","7.85","E","Estimated value"
"EM","Emissions indicators","124","Canada","7264","Emissions Share (CO2)","6517","Pre- and post-production","2021","2021","%","7.81","E","Estimated value"
"EM","Emissions indicators","124","Canada","7264","Emissions Share (CO2)","6517","Pre- and post-production","2022","2022","%","7.86","E","Estimated value"
"EM","Emissions indicators","124","Canada","7264","Emissions Share (CO2)","6517","Pre- and post-production","2023","2023","%","7.88","E","Estimated value"
"EM","Emissions indicators","124","Canada","7265","Emissions Share (CH4)","6517","Pre- and post-production","2016","2016","%","5.95","E","Estimated value"
"EM","Emissions indicators","124","Canada","7265","Emissions Share (CH4)","6517","Pre- and post-production","2017","2017","%","5.89","E","Estimated value"
"EM","Emissions indicators","124","Canada","7265","Emissions Share (CH4)","6517","Pre- and post-production","2018","2018","%","5.8","E","Estimated value"
"EM","Emissions indicators","124","Canada","7265","Emissions Share (CH4)","6517","Pre- and post-production","2019","2019","%","5.91","E","Estimated value"
"EM","Emissions indicators","124","Canada","7265","Emissions Share (CH4)","6517","Pre- and post-production","2020","2020","%","6.69","E","Estimated value"
"EM","Emissions indicators","124","Canada","7265","Emissions Share (CH4)","6517","Pre- and post-production","2021","2021","%","6.32","E","Estimated value"
"EM","Emissions indicators","124","Canada","7265","Emissions Share (CH4)","6517","Pre- and post-production","2022","2022","%","6.31","E","Estimated value"
"EM","Emissions indicators","124","Canada","7265","Emissions Share (CH4)","6517","Pre- and post-production","2023","2023","%","5.77","E","Estimated value"
"EM","Emissions indicators","124","Canada","7266","Emissions Share (N2O)","6517","Pre- and post-production","2016","2016","%","6.28","E","Estimated value"
"EM","Emissions indicators","124","Canada","7266","Emissions Share (N2O)","6517","Pre- and post-production","2017","2017","%","5.95","E","Estimated value"
"EM","Emissions indicators","124","Canada","7266","Emissions Share (N2O)","6517","Pre- and post-production","2018","2018","%","5.88","E","Estimated value"
"EM","Emissions indicators","124","Canada","7266","Emissions Share (N2O)","6517","Pre- and post-production","2019","2019","%","6.15","E","Estimated value"
"EM","Emissions indicators","124","Canada","7266","Emissions Share (N2O)","6517","Pre- and post-production","2020","2020","%","6.25","E","Estimated value"
"EM","Emissions indicators","124","Canada","7266","Emissions Share (N2O)","6517","Pre- and post-production","2021","2021","%","6.19","E","Estimated value"
"EM","Emissions indicators","124","Canada","7266","Emissions Share (N2O)","6517","Pre- and post-production","2022","2022","%","6.41","E","Estimated value"
"EM","Emissions indicators","124","Canada","7266","Emissions Share (N2O)","6517","Pre- and post-production","2023","2023","%","5.05","E","Estimated value"
"EM","Emissions indicators","124","Canada","7179","Emissions Share (CO2eq) (AR5) (F-gases)","6517","Pre- and post-production","2016","2016","%","21.12","E","Estimated value"
"EM","Emissions indicators","124","Canada","7179","Emissions Share (CO2eq) (AR5) (F-gases)","6517","Pre- and post-production","2017","2017","%","24.48","E","Estimated value"
"EM","Emissions indicators","124","Canada","7179","Emissions Share (CO2eq) (AR5) (F-gases)","6517","Pre- and post-production","2018","2018","%","26.66","E","Estimated value"
"EM","Emissions indicators","124","Canada","7179","Emissions Share (CO2eq) (AR5) (F-gases)","6517","Pre- and post-production","2019","2019","%","25.62","E","Estimated value"
"EM","Emissions indicators","124","Canada","7179","Emissions Share (CO2eq) (AR5) (F-gases)","6517","Pre- and post-production","2020","2020","%","28.52","E","Estimated value"
"EM","Emissions indicators","124","Canada","7179","Emissions Share (CO2eq) (AR5) (F-gases)","6517","Pre- and post-production","2021","2021","%","31.34","E","Estimated value"
"EM","Emissions indicators","124","Canada","7179","Emissions Share (CO2eq) (AR5) (F-gases)","6517","Pre- and post-production","2022","2022","%","31.71","E","Estimated value"
"EM","Emissions indicators","124","Canada","7179","Emissions Share (CO2eq) (AR5) (F-gases)","6517","Pre- and post-production","2023","2023","%","32.68","E","Estimated value"
"EM","Emissions indicators","124","Canada","7279","Emissions per capita","6517","Pre- and post-production","2016","2016","t CO2eq/cap","1.96","E","Estimated value"
"EM","Emissions indicators","124","Canada","7279","Emissions per capita","6517","Pre- and post-production","2017","2017","t CO2eq/cap","1.97","E","Estimated value"
"EM","Emissions indicators","124","Canada","7279","Emissions per capita","6517","Pre- and post-production","2018","2018","t CO2eq/cap","1.86","E","Estimated value"
"EM","Emissions indicators","124","Canada","7279","Emissions per capita","6517","Pre- and post-production","2019","2019","t CO2eq/cap","1.82","E","Estimated value"
"EM","Emissions indicators","124","Canada","7279","Emissions per capita","6517","Pre- and post-production","2020","2020","t CO2eq/cap","1.9","E","Estimated value"
"EM","Emissions indicators","124","Canada","7279","Emissions per capita","6517","Pre- and post-production","2021","2021","t CO2eq/cap","1.86","E","Estimated value"
"EM","Emissions indicators","124","Canada","7279","Emissions per capita","6517","Pre- and post-production","2022","2022","t CO2eq/cap","1.88","E","Estimated value"
"EM","Emissions indicators","124","Canada","7279","Emissions per capita","6517","Pre- and post-production","2023","2023","t CO2eq/cap","1.87","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6518","Agrifood systems","2016","2016","%","26.24","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6518","Agrifood systems","2017","2017","%","25.48","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6518","Agrifood systems","2018","2018","%","25.18","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6518","Agrifood systems","2019","2019","%","24.96","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6518","Agrifood systems","2020","2020","%","27.53","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6518","Agrifood systems","2021","2021","%","32.02","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6518","Agrifood systems","2022","2022","%","31.72","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6518","Agrifood systems","2023","2023","%","31.57","E","Estimated value"
"EM","Emissions indicators","124","Canada","7264","Emissions Share (CO2)","6518","Agrifood systems","2016","2016","%","22.61","E","Estimated value"
"EM","Emissions indicators","124","Canada","7264","Emissions Share (CO2)","6518","Agrifood systems","2017","2017","%","21.76","E","Estimated value"
"EM","Emissions indicators","124","Canada","7264","Emissions Share (CO2)","6518","Agrifood systems","2018","2018","%","21.28","E","Estimated value"
"EM","Emissions indicators","124","Canada","7264","Emissions Share (CO2)","6518","Agrifood systems","2019","2019","%","21.07","E","Estimated value"
"EM","Emissions indicators","124","Canada","7264","Emissions Share (CO2)","6518","Agrifood systems","2020","2020","%","23.09","E","Estimated value"
"EM","Emissions indicators","124","Canada","7264","Emissions Share (CO2)","6518","Agrifood systems","2021","2021","%","28.88","E","Estimated value"
"EM","Emissions indicators","124","Canada","7264","Emissions Share (CO2)","6518","Agrifood systems","2022","2022","%","28.57","E","Estimated value"
"EM","Emissions indicators","124","Canada","7264","Emissions Share (CO2)","6518","Agrifood systems","2023","2023","%","28.55","E","Estimated value"
"EM","Emissions indicators","124","Canada","7265","Emissions Share (CH4)","6518","Agrifood systems","2016","2016","%","28.97","E","Estimated value"
"EM","Emissions indicators","124","Canada","7265","Emissions Share (CH4)","6518","Agrifood systems","2017","2017","%","28.86","E","Estimated value"
"EM","Emissions indicators","124","Canada","7265","Emissions Share (CH4)","6518","Agrifood systems","2018","2018","%","28.39","E","Estimated value"
"EM","Emissions indicators","124","Canada","7265","Emissions Share (CH4)","6518","Agrifood systems","2019","2019","%","28.8","E","Estimated value"
"EM","Emissions indicators","124","Canada","7265","Emissions Share (CH4)","6518","Agrifood systems","2020","2020","%","32.26","E","Estimated value"
"EM","Emissions indicators","124","Canada","7265","Emissions Share (CH4)","6518","Agrifood systems","2021","2021","%","31.16","E","Estimated value"
"EM","Emissions indicators","124","Canada","7265","Emissions Share (CH4)","6518","Agrifood systems","2022","2022","%","30.64","E","Estimated value"
"EM","Emissions indicators","124","Canada","7265","Emissions Share (CH4)","6518","Agrifood systems","2023","2023","%","29.54","E","Estimated value"
"EM","Emissions indicators","124","Canada","7266","Emissions Share (N2O)","6518","Agrifood systems","2016","2016","%","88.03","E","Estimated value"
"EM","Emissions indicators","124","Canada","7266","Emissions Share (N2O)","6518","Agrifood systems","2017","2017","%","87.08","E","Estimated value"
"EM","Emissions indicators","124","Canada","7266","Emissions Share (N2O)","6518","Agrifood systems","2018","2018","%","85.85","E","Estimated value"
"EM","Emissions indicators","124","Canada","7266","Emissions Share (N2O)","6518","Agrifood systems","2019","2019","%","87.52","E","Estimated value"
"EM","Emissions indicators","124","Canada","7266","Emissions Share (N2O)","6518","Agrifood systems","2020","2020","%","91.3","E","Estimated value"
"EM","Emissions indicators","124","Canada","7266","Emissions Share (N2O)","6518","Agrifood systems","2021","2021","%","86.92","E","Estimated value"
"EM","Emissions indicators","124","Canada","7266","Emissions Share (N2O)","6518","Agrifood systems","2022","2022","%","89.47","E","Estimated value"
"EM","Emissions indicators","124","Canada","7266","Emissions Share (N2O)","6518","Agrifood systems","2023","2023","%","77.33","E","Estimated value"
"EM","Emissions indicators","124","Canada","7179","Emissions Share (CO2eq) (AR5) (F-gases)","6518","Agrifood systems","2016","2016","%","21.12","E","Estimated value"
"EM","Emissions indicators","124","Canada","7179","Emissions Share (CO2eq) (AR5) (F-gases)","6518","Agrifood systems","2017","2017","%","24.48","E","Estimated value"
"EM","Emissions indicators","124","Canada","7179","Emissions Share (CO2eq) (AR5) (F-gases)","6518","Agrifood systems","2018","2018","%","26.66","E","Estimated value"
"EM","Emissions indicators","124","Canada","7179","Emissions Share (CO2eq) (AR5) (F-gases)","6518","Agrifood systems","2019","2019","%","25.62","E","Estimated value"
"EM","Emissions indicators","124","Canada","7179","Emissions Share (CO2eq) (AR5) (F-gases)","6518","Agrifood systems","2020","2020","%","28.52","E","Estimated value"
"EM","Emissions indicators","124","Canada","7179","Emissions Share (CO2eq) (AR5) (F-gases)","6518","Agrifood systems","2021","2021","%","31.34","E","Estimated value"
"EM","Emissions indicators","124","Canada","7179","Emissions Share (CO2eq) (AR5) (F-gases)","6518","Agrifood systems","2022","2022","%","31.71","E","Estimated value"
"EM","Emissions indicators","124","Canada","7179","Emissions Share (CO2eq) (AR5) (F-gases)","6518","Agrifood systems","2023","2023","%","32.68","E","Estimated value"
"EM","Emissions indicators","124","Canada","7279","Emissions per capita","6518","Agrifood systems","2016","2016","t CO2eq/cap","6.7","E","Estimated value"
"EM","Emissions indicators","124","Canada","7279","Emissions per capita","6518","Agrifood systems","2017","2017","t CO2eq/cap","6.68","E","Estimated value"
"EM","Emissions indicators","124","Canada","7279","Emissions per capita","6518","Agrifood systems","2018","2018","t CO2eq/cap","6.6","E","Estimated value"
"EM","Emissions indicators","124","Canada","7279","Emissions per capita","6518","Agrifood systems","2019","2019","t CO2eq/cap","6.44","E","Estimated value"
"EM","Emissions indicators","124","Canada","7279","Emissions per capita","6518","Agrifood systems","2020","2020","t CO2eq/cap","6.51","E","Estimated value"
"EM","Emissions indicators","124","Canada","7279","Emissions per capita","6518","Agrifood systems","2021","2021","t CO2eq/cap","7.47","E","Estimated value"
"EM","Emissions indicators","124","Canada","7279","Emissions per capita","6518","Agrifood systems","2022","2022","t CO2eq/cap","7.43","E","Estimated value"
"EM","Emissions indicators","124","Canada","7279","Emissions per capita","6518","Agrifood systems","2023","2023","t CO2eq/cap","7.48","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6995","Emissions on agricultural land","2016","2016","%","18.55","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6995","Emissions on agricultural land","2017","2017","%","17.99","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6995","Emissions on agricultural land","2018","2018","%","18.08","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6995","Emissions on agricultural land","2019","2019","%","17.91","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6995","Emissions on agricultural land","2020","2020","%","19.49","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6995","Emissions on agricultural land","2021","2021","%","24.03","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6995","Emissions on agricultural land","2022","2022","%","23.68","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6995","Emissions on agricultural land","2023","2023","%","23.7","E","Estimated value"
"EM","Emissions indicators","124","Canada","7264","Emissions Share (CO2)","6995","Emissions on agricultural land","2016","2016","%","14.89","E","Estimated value"
"EM","Emissions indicators","124","Canada","7264","Emissions Share (CO2)","6995","Emissions on agricultural land","2017","2017","%","14.32","E","Estimated value"
"EM","Emissions indicators","124","Canada","7264","Emissions Share (CO2)","6995","Emissions on agricultural land","2018","2018","%","14.36","E","Estimated value"
