Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","124","Canada","5539","Producer Price Index (2014-2016 = 100)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2018","2018","7021","Annual value","","98.5","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5539","Producer Price Index (2014-2016 = 100)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2019","2019","7021","Annual value","","98.61","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5539","Producer Price Index (2014-2016 = 100)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2020","2020","7021","Annual value","","100.24","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5539","Producer Price Index (2014-2016 = 100)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2021","2021","7021","Annual value","","109.52","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5539","Producer Price Index (2014-2016 = 100)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","7021","Annual value","","125.72","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5539","Producer Price Index (2014-2016 = 100)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2023","2023","7021","Annual value","","130.96","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2016","2016","7021","Annual value","LCU","569.2","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2016","2016","7001","January","LCU","522","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2016","2016","7002","February","LCU","556","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2016","2016","7003","March","LCU","513","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2016","2016","7004","April","LCU","553","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2016","2016","7005","May","LCU","543","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2016","2016","7006","June","LCU","505","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2016","2016","7007","July","LCU","574","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2016","2016","7008","August","LCU","580","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2016","2016","7009","September","LCU","588","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2016","2016","7010","October","LCU","599","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2016","2016","7011","November","LCU","567","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2016","2016","7012","December","LCU","570","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2017","2017","7021","Annual value","LCU","601","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2017","2017","7001","January","LCU","555","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2017","2017","7002","February","LCU","590","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2017","2017","7003","March","LCU","544","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2017","2017","7004","April","LCU","585","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2017","2017","7005","May","LCU","576","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2017","2017","7006","June","LCU","536","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2017","2017","7007","July","LCU","676","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2017","2017","7008","August","LCU","662","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2017","2017","7009","September","LCU","687","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2017","2017","7010","October","LCU","706","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2017","2017","7011","November","LCU","621","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2017","2017","7012","December","LCU","633","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2018","2018","7021","Annual value","LCU","624.6","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2018","2018","7001","January","LCU","632","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2018","2018","7002","February","LCU","638","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2018","2018","7003","March","LCU","607","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2018","2018","7004","April","LCU","629","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2018","2018","7005","May","LCU","609","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2018","2018","7006","June","LCU","602","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2018","2018","7007","July","LCU","612","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2018","2018","7008","August","LCU","610","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2018","2018","7009","September","LCU","614","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2018","2018","7010","October","LCU","625","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2018","2018","7011","November","LCU","599","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2018","2018","7012","December","LCU","605","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2019","2019","7021","Annual value","LCU","633.4","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2019","2019","7001","January","LCU","613","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2019","2019","7002","February","LCU","633","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2019","2019","7003","March","LCU","605","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2019","2019","7004","April","LCU","626","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2019","2019","7005","May","LCU","609","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2019","2019","7006","June","LCU","600","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2019","2019","7007","July","LCU","653","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2019","2019","7008","August","LCU","646","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2019","2019","7009","September","LCU","675","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2019","2019","7010","October","LCU","684","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2019","2019","7011","November","LCU","634","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2019","2019","7012","December","LCU","638","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2020","2020","7021","Annual value","LCU","657.3","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2020","2020","7001","January","LCU","631.9","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2020","2020","7002","February","LCU","663","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2020","2020","7003","March","LCU","622.7","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2020","2020","7004","April","LCU","658.6","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2020","2020","7005","May","LCU","650.7","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2020","2020","7006","June","LCU","616","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2020","2020","7007","July","LCU","673.1","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2020","2020","7008","August","LCU","679.1","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2020","2020","7009","September","LCU","682.5","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2020","2020","7010","October","LCU","697.3","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2020","2020","7011","November","LCU","669.2","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2020","2020","7012","December","LCU","667","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2021","2021","7021","Annual value","LCU","682.7","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2021","2021","7001","January","LCU","662.7","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2021","2021","7002","February","LCU","677.2","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2021","2021","7003","March","LCU","656.1","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2021","2021","7004","April","LCU","670.5","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2021","2021","7005","May","LCU","662.3","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2021","2021","7006","June","LCU","651.5","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2021","2021","7007","July","LCU","682.5","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2021","2021","7008","August","LCU","683.2","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2021","2021","7009","September","LCU","701.4","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2021","2021","7010","October","LCU","710.1","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2021","2021","7011","November","LCU","700.2","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2021","2021","7012","December","LCU","699.3","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2022","2022","7021","Annual value","LCU","732.7","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2022","2022","7001","January","LCU","697.1","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2022","2022","7002","February","LCU","703.3","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2022","2022","7003","March","LCU","692.9","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2022","2022","7004","April","LCU","697.7","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2022","2022","7005","May","LCU","692.7","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2022","2022","7006","June","LCU","689.7","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2022","2022","7007","July","LCU","750.8","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2022","2022","7008","August","LCU","750.4","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2022","2022","7009","September","LCU","760.2","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2022","2022","7010","October","LCU","771.9","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2022","2022","7011","November","LCU","753.4","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2022","2022","7012","December","LCU","760","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2023","2023","7021","Annual value","LCU","780.9","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2023","2023","7001","January","LCU","752.5","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2023","2023","7002","February","LCU","755.7","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2023","2023","7003","March","LCU","747.1","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2023","2023","7004","April","LCU","747","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2023","2023","7005","May","LCU","735.2","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2023","2023","7006","June","LCU","745.3","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2023","2023","7007","July","LCU","778.1","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2023","2023","7008","August","LCU","778.4","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2023","2023","7009","September","LCU","801.1","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2023","2023","7010","October","LCU","811.2","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2023","2023","7011","November","LCU","812.6","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01341","Apples","2023","2023","7012","December","LCU","815.9","A","Official figure"
"PP","Producer Prices","124","Canada","5531","Producer Price (SLC/tonne)","01341","Apples","2016","2016","7021","Annual value","SLC","569.2","A","Official figure"
"PP","Producer Prices","124","Canada","5531","Producer Price (SLC/tonne)","01341","Apples","2017","2017","7021","Annual value","SLC","601","A","Official figure"
"PP","Producer Prices","124","Canada","5531","Producer Price (SLC/tonne)","01341","Apples","2018","2018","7021","Annual value","SLC","624.6","A","Official figure"
"PP","Producer Prices","124","Canada","5531","Producer Price (SLC/tonne)","01341","Apples","2019","2019","7021","Annual value","SLC","633.4","A","Official figure"
"PP","Producer Prices","124","Canada","5531","Producer Price (SLC/tonne)","01341","Apples","2020","2020","7021","Annual value","SLC","657.3","A","Official figure"
"PP","Producer Prices","124","Canada","5531","Producer Price (SLC/tonne)","01341","Apples","2021","2021","7021","Annual value","SLC","682.7","A","Official figure"
"PP","Producer Prices","124","Canada","5531","Producer Price (SLC/tonne)","01341","Apples","2022","2022","7021","Annual value","SLC","732.7","A","Official figure"
"PP","Producer Prices","124","Canada","5531","Producer Price (SLC/tonne)","01341","Apples","2023","2023","7021","Annual value","SLC","780.9","A","Official figure"
"PP","Producer Prices","124","Canada","5532","Producer Price (USD/tonne)","01341","Apples","2016","2016","7021","Annual value","USD","429.4","A","Official figure"
"PP","Producer Prices","124","Canada","5532","Producer Price (USD/tonne)","01341","Apples","2017","2017","7021","Annual value","USD","463.1","A","Official figure"
"PP","Producer Prices","124","Canada","5532","Producer Price (USD/tonne)","01341","Apples","2018","2018","7021","Annual value","USD","482.1","A","Official figure"
"PP","Producer Prices","124","Canada","5532","Producer Price (USD/tonne)","01341","Apples","2019","2019","7021","Annual value","USD","477.4","A","Official figure"
"PP","Producer Prices","124","Canada","5532","Producer Price (USD/tonne)","01341","Apples","2020","2020","7021","Annual value","USD","490.1","A","Official figure"
"PP","Producer Prices","124","Canada","5532","Producer Price (USD/tonne)","01341","Apples","2021","2021","7021","Annual value","USD","544.5","A","Official figure"
"PP","Producer Prices","124","Canada","5532","Producer Price (USD/tonne)","01341","Apples","2022","2022","7021","Annual value","USD","562.9","A","Official figure"
"PP","Producer Prices","124","Canada","5532","Producer Price (USD/tonne)","01341","Apples","2023","2023","7021","Annual value","USD","578.5","A","Official figure"
"PP","Producer Prices","124","Canada","5539","Producer Price Index (2014-2016 = 100)","01341","Apples","2016","2016","7021","Annual value","","105.05","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5539","Producer Price Index (2014-2016 = 100)","01341","Apples","2017","2017","7021","Annual value","","110.92","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5539","Producer Price Index (2014-2016 = 100)","01341","Apples","2018","2018","7021","Annual value","","115.28","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5539","Producer Price Index (2014-2016 = 100)","01341","Apples","2019","2019","7021","Annual value","","116.91","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5539","Producer Price Index (2014-2016 = 100)","01341","Apples","2020","2020","7021","Annual value","","121.31","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5539","Producer Price Index (2014-2016 = 100)","01341","Apples","2021","2021","7021","Annual value","","126","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5539","Producer Price Index (2014-2016 = 100)","01341","Apples","2022","2022","7021","Annual value","","135.23","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5539","Producer Price Index (2014-2016 = 100)","01341","Apples","2023","2023","7021","Annual value","","144.12","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01343","Apricots","2016","2016","7021","Annual value","LCU","1890.8","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01343","Apricots","2016","2016","7007","July","LCU","1474","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01343","Apricots","2016","2016","7008","August","LCU","2118","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01343","Apricots","2016","2016","7009","September","LCU","1861","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01343","Apricots","2017","2017","7021","Annual value","LCU","1911.5","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01343","Apricots","2017","2017","7007","July","LCU","1499","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01343","Apricots","2017","2017","7008","August","LCU","2710","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01343","Apricots","2017","2017","7009","September","LCU","2297","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01343","Apricots","2018","2018","7021","Annual value","LCU","1919.7","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01343","Apricots","2018","2018","7007","July","LCU","1529","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01343","Apricots","2018","2018","7008","August","LCU","2751","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01343","Apricots","2018","2018","7009","September","LCU","2327","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01343","Apricots","2019","2019","7021","Annual value","LCU","1903.8","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01343","Apricots","2019","2019","7007","July","LCU","1609","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01343","Apricots","2019","2019","7008","August","LCU","2901","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01343","Apricots","2019","2019","7009","September","LCU","2471","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01343","Apricots","2020","2020","7021","Annual value","LCU","1876.5","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01343","Apricots","2020","2020","7007","July","LCU","1781.8","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01343","Apricots","2020","2020","7008","August","LCU","2690.8","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01343","Apricots","2020","2020","7009","September","LCU","2339.7","A","Official figure"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01343","Apricots","2021","2021","7021","Annual value","LCU","2889.6","A","Official figure"
