Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","124","Canada","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2020","2020","t","12358.17","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2021","2021","ha","14559","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2021","2021","kg/ha","855","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2021","2021","t","12447.31","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","ha","14290","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","kg/ha","873.1","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","t","12475.65","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2023","2023","ha","14292","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2023","2023","kg/ha","869.5","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2023","2023","t","12427.04","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01341","Apples","2016","2016","ha","15873","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01341","Apples","2016","2016","kg/ha","26333.3","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01341","Apples","2016","2016","t","417989","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01341","Apples","2017","2017","ha","15612","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01341","Apples","2017","2017","kg/ha","25754.7","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01341","Apples","2017","2017","t","402082","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01341","Apples","2018","2018","ha","15740","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01341","Apples","2018","2018","kg/ha","25602.2","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01341","Apples","2018","2018","t","402978","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01341","Apples","2019","2019","ha","15329","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01341","Apples","2019","2019","kg/ha","24970.4","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01341","Apples","2019","2019","t","382771","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01341","Apples","2020","2020","ha","15289","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01341","Apples","2020","2020","kg/ha","25573.9","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01341","Apples","2020","2020","t","390999","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01341","Apples","2021","2021","ha","15493","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01341","Apples","2021","2021","kg/ha","22691.9","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01341","Apples","2021","2021","t","351565","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01341","Apples","2022","2022","ha","15376","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01341","Apples","2022","2022","kg/ha","24873.6","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01341","Apples","2022","2022","t","382456","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01341","Apples","2023","2023","ha","15363","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01341","Apples","2023","2023","kg/ha","23984.6","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01341","Apples","2023","2023","t","368476","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01343","Apricots","2016","2016","ha","127","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01343","Apricots","2016","2016","kg/ha","9236.2","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01343","Apricots","2016","2016","t","1173","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01343","Apricots","2017","2017","ha","111","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01343","Apricots","2017","2017","kg/ha","9351.4","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01343","Apricots","2017","2017","t","1038","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01343","Apricots","2018","2018","ha","111","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01343","Apricots","2018","2018","kg/ha","9612.6","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01343","Apricots","2018","2018","t","1067","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01343","Apricots","2019","2019","ha","112","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01343","Apricots","2019","2019","kg/ha","8187.5","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01343","Apricots","2019","2019","t","917","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01343","Apricots","2020","2020","ha","105","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01343","Apricots","2020","2020","kg/ha","7114.3","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01343","Apricots","2020","2020","t","747","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01343","Apricots","2021","2021","ha","99","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01343","Apricots","2021","2021","kg/ha","8090.9","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01343","Apricots","2021","2021","t","801","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01343","Apricots","2022","2022","ha","90","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01343","Apricots","2022","2022","kg/ha","8100","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01343","Apricots","2022","2022","t","729","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01343","Apricots","2023","2023","ha","91","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01343","Apricots","2023","2023","kg/ha","7648.4","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01343","Apricots","2023","2023","t","696","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01211","Asparagus","2016","2016","ha","2019","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01211","Asparagus","2016","2016","kg/ha","4639.9","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01211","Asparagus","2016","2016","t","9368","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01211","Asparagus","2017","2017","ha","2029","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01211","Asparagus","2017","2017","kg/ha","4414","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01211","Asparagus","2017","2017","t","8956","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01211","Asparagus","2018","2018","ha","2012","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01211","Asparagus","2018","2018","kg/ha","4454.8","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01211","Asparagus","2018","2018","t","8963","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01211","Asparagus","2019","2019","ha","2159","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01211","Asparagus","2019","2019","kg/ha","4740.6","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01211","Asparagus","2019","2019","t","10235","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01211","Asparagus","2020","2020","ha","1953","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01211","Asparagus","2020","2020","kg/ha","3973.9","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01211","Asparagus","2020","2020","t","7761","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01211","Asparagus","2021","2021","ha","2066","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01211","Asparagus","2021","2021","kg/ha","4325.3","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01211","Asparagus","2021","2021","t","8936","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01211","Asparagus","2022","2022","ha","2476","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01211","Asparagus","2022","2022","kg/ha","4013.7","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01211","Asparagus","2022","2022","t","9938","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01211","Asparagus","2023","2023","ha","2435","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01211","Asparagus","2023","2023","kg/ha","4379.5","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01211","Asparagus","2023","2023","t","10664","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","0115","Barley","2016","2016","ha","2265700","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","0115","Barley","2016","2016","kg/ha","3901.4","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","0115","Barley","2016","2016","t","8839400","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","0115","Barley","2017","2017","ha","2113500","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","0115","Barley","2017","2017","kg/ha","3733.8","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","0115","Barley","2017","2017","t","7891300","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","0115","Barley","2018","2018","ha","2395200","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","0115","Barley","2018","2018","kg/ha","3498.5","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","0115","Barley","2018","2018","t","8379700","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","0115","Barley","2019","2019","ha","2727500","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","0115","Barley","2019","2019","kg/ha","3806.6","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","0115","Barley","2019","2019","t","10382600","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","0115","Barley","2020","2020","ha","2808700","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","0115","Barley","2020","2020","kg/ha","3824","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","0115","Barley","2020","2020","t","10740600","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","0115","Barley","2021","2021","ha","3011100","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","0115","Barley","2021","2021","kg/ha","2274.3","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","0115","Barley","2021","2021","t","6848137","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","0115","Barley","2022","2022","ha","2635700","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","0115","Barley","2022","2022","kg/ha","3789","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","0115","Barley","2022","2022","t","9986681","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","0115","Barley","2023","2023","ha","2699000","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","0115","Barley","2023","2023","kg/ha","3296.1","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","0115","Barley","2023","2023","t","8896244","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01701","Beans, dry","2016","2016","ha","116300","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01701","Beans, dry","2016","2016","kg/ha","2100.6","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01701","Beans, dry","2016","2016","t","244300","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01701","Beans, dry","2017","2017","ha","131500","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01701","Beans, dry","2017","2017","kg/ha","2451.7","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01701","Beans, dry","2017","2017","t","322400","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01701","Beans, dry","2018","2018","ha","137100","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01701","Beans, dry","2018","2018","kg/ha","2488","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01701","Beans, dry","2018","2018","t","341100","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01701","Beans, dry","2019","2019","ha","150200","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01701","Beans, dry","2019","2019","kg/ha","2109.2","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01701","Beans, dry","2019","2019","t","316800","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01701","Beans, dry","2020","2020","ha","182900","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01701","Beans, dry","2020","2020","kg/ha","2676.3","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01701","Beans, dry","2020","2020","t","489500","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01701","Beans, dry","2021","2021","ha","161600","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01701","Beans, dry","2021","2021","kg/ha","2249.8","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01701","Beans, dry","2021","2021","t","363573","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01701","Beans, dry","2022","2022","ha","117300","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01701","Beans, dry","2022","2022","kg/ha","2668.3","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01701","Beans, dry","2022","2022","t","312994","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01701","Beans, dry","2023","2023","ha","128800","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01701","Beans, dry","2023","2023","kg/ha","2634.4","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01701","Beans, dry","2023","2023","t","339315","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","24310.01","Beer of barley, malted","2016","2016","t","2230000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","124","Canada","5510","Production","24310.01","Beer of barley, malted","2017","2017","t","2207700","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","124","Canada","5510","Production","24310.01","Beer of barley, malted","2018","2018","t","2165000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","124","Canada","5510","Production","24310.01","Beer of barley, malted","2019","2019","t","2160000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","124","Canada","5510","Production","24310.01","Beer of barley, malted","2020","2020","t","2267400","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","124","Canada","5510","Production","24310.01","Beer of barley, malted","2021","2021","t","2120500","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","124","Canada","5510","Production","24310.01","Beer of barley, malted","2022","2022","t","2061300","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","124","Canada","5114","Stocks","02196","Bees","2016","2016","No","704495","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","124","Canada","5114","Stocks","02196","Bees","2017","2017","No","709178","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","124","Canada","5114","Stocks","02196","Bees","2018","2018","No","713634","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","124","Canada","5114","Stocks","02196","Bees","2019","2019","No","718585","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","124","Canada","5114","Stocks","02196","Bees","2020","2020","No","728484","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","124","Canada","5114","Stocks","02196","Bees","2021","2021","No","732381","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","124","Canada","5114","Stocks","02196","Bees","2022","2022","No","738065","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","124","Canada","5114","Stocks","02196","Bees","2023","2023","No","743750","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","2016","2016","ha","42570","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01355.01","Blueberries","2016","2016","kg/ha","4961","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","2016","2016","t","211191","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","2017","2017","ha","41569","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01355.01","Blueberries","2017","2017","kg/ha","4177.2","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","2017","2017","t","173641","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","2018","2018","ha","41068","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01355.01","Blueberries","2018","2018","kg/ha","3779.8","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","2018","2018","t","155229","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","2019","2019","ha","40671","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01355.01","Blueberries","2019","2019","kg/ha","4339.5","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","2019","2019","t","176490","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","2020","2020","ha","39736","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01355.01","Blueberries","2020","2020","kg/ha","3736.3","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","2020","2020","t","148465","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","2021","2021","ha","41932","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01355.01","Blueberries","2021","2021","kg/ha","3474.4","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","2021","2021","t","145689","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","2022","2022","ha","42147","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01355.01","Blueberries","2022","2022","kg/ha","4407.7","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","2022","2022","t","185772","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","2023","2023","ha","42150","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01355.01","Blueberries","2023","2023","kg/ha","3961.6","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","2023","2023","t","166983","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01702","Broad beans and horse beans, dry","2016","2016","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01702","Broad beans and horse beans, dry","2016","2016","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01702","Broad beans and horse beans, dry","2017","2017","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01702","Broad beans and horse beans, dry","2017","2017","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01702","Broad beans and horse beans, dry","2018","2018","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01702","Broad beans and horse beans, dry","2018","2018","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01702","Broad beans and horse beans, dry","2019","2019","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01702","Broad beans and horse beans, dry","2019","2019","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01702","Broad beans and horse beans, dry","2020","2020","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01702","Broad beans and horse beans, dry","2020","2020","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01702","Broad beans and horse beans, dry","2021","2021","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01702","Broad beans and horse beans, dry","2021","2021","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01702","Broad beans and horse beans, dry","2022","2022","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01702","Broad beans and horse beans, dry","2022","2022","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01702","Broad beans and horse beans, dry","2023","2023","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01702","Broad beans and horse beans, dry","2023","2023","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01192","Buckwheat","2016","2016","ha","3231","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01192","Buckwheat","2016","2016","kg/ha","609","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01192","Buckwheat","2016","2016","t","1967.63","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01192","Buckwheat","2017","2017","ha","5800","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01192","Buckwheat","2017","2017","kg/ha","931","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01192","Buckwheat","2017","2017","t","5400","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01192","Buckwheat","2018","2018","ha","12700","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01192","Buckwheat","2018","2018","kg/ha","1181.1","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01192","Buckwheat","2018","2018","t","15000","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01192","Buckwheat","2019","2019","ha","13900","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01192","Buckwheat","2019","2019","kg/ha","1295","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01192","Buckwheat","2019","2019","t","18000","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01192","Buckwheat","2020","2020","ha","9800","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01192","Buckwheat","2020","2020","kg/ha","908.2","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01192","Buckwheat","2020","2020","t","8900","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01192","Buckwheat","2021","2021","ha","7640","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01192","Buckwheat","2021","2021","kg/ha","1197.8","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01192","Buckwheat","2021","2021","t","9151","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01192","Buckwheat","2022","2022","ha","11600","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01192","Buckwheat","2022","2022","kg/ha","933.5","A","Official figure",""
