Domain Code,Domain,Area Code (M49),Area,Indicator Code,Indicator,Sex Code,Sex,Year Code,Year,Element Code,Element,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21162","Share of agricultural employment in total AFS employment","1","Total","2018","2018","6121","Value","3044","FAO Model","%","9.92","X","Figure from external organization","ILO Modelled Estimates"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21162","Share of agricultural employment in total AFS employment","1","Total","2019","2019","6121","Value","3044","FAO Model","%","10.03","X","Figure from external organization","ILO Modelled Estimates"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21162","Share of agricultural employment in total AFS employment","1","Total","2020","2020","6121","Value","3044","FAO Model","%","11.15","X","Figure from external organization","ILO Modelled Estimates"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21162","Share of agricultural employment in total AFS employment","1","Total","2021","2021","6121","Value","3044","FAO Model","%","9.92","X","Figure from external organization","ILO Modelled Estimates"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21162","Share of agricultural employment in total AFS employment","1","Total","2022","2022","6121","Value","3044","FAO Model","%","9.16","X","Figure from external organization","ILO Modelled Estimates"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21164","Share of non-agricultural AFS employment in total AFS employment","1","Total","2016","2016","6121","Value","3044","FAO Model","%","87.64","E","Estimated value","Derived from Statistics Canada. Table 14-10-0202-01  Employment by industry, annual"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21164","Share of non-agricultural AFS employment in total AFS employment","1","Total","2017","2017","6121","Value","3044","FAO Model","%","90.08","E","Estimated value","Derived from Statistics Canada. Table 14-10-0202-01  Employment by industry, annual"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21164","Share of non-agricultural AFS employment in total AFS employment","1","Total","2018","2018","6121","Value","3044","FAO Model","%","90.08","E","Estimated value","Derived from Statistics Canada. Table 14-10-0202-01  Employment by industry, annual"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21164","Share of non-agricultural AFS employment in total AFS employment","1","Total","2019","2019","6121","Value","3044","FAO Model","%","89.97","E","Estimated value","Derived from Statistics Canada. Table 14-10-0202-01  Employment by industry, annual"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21164","Share of non-agricultural AFS employment in total AFS employment","1","Total","2020","2020","6121","Value","3044","FAO Model","%","88.85","E","Estimated value","Derived from Statistics Canada. Table 14-10-0202-01  Employment by industry, annual"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21164","Share of non-agricultural AFS employment in total AFS employment","1","Total","2021","2021","6121","Value","3044","FAO Model","%","90.08","E","Estimated value","Derived from Statistics Canada. Table 14-10-0202-01  Employment by industry, annual"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21164","Share of non-agricultural AFS employment in total AFS employment","1","Total","2022","2022","6121","Value","3044","FAO Model","%","90.84","E","Estimated value","Derived from Statistics Canada. Table 14-10-0202-01  Employment by industry, annual"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21167","Share of non-agricultural AFS employment in total employment","1","Total","2016","2016","6121","Value","3044","FAO Model","%","16.03","X","Figure from external organization","Derived from Statistics Canada. Table 14-10-0202-01  Employment by industry, annual"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21167","Share of non-agricultural AFS employment in total employment","1","Total","2017","2017","6121","Value","3044","FAO Model","%","16.01","X","Figure from external organization","Derived from Statistics Canada. Table 14-10-0202-01  Employment by industry, annual"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21167","Share of non-agricultural AFS employment in total employment","1","Total","2018","2018","6121","Value","3044","FAO Model","%","15.69","X","Figure from external organization","Derived from Statistics Canada. Table 14-10-0202-01  Employment by industry, annual"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21167","Share of non-agricultural AFS employment in total employment","1","Total","2019","2019","6121","Value","3044","FAO Model","%","15.7","X","Figure from external organization","Derived from Statistics Canada. Table 14-10-0202-01  Employment by industry, annual"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21167","Share of non-agricultural AFS employment in total employment","1","Total","2020","2020","6121","Value","3044","FAO Model","%","14.45","X","Figure from external organization","Derived from Statistics Canada. Table 14-10-0202-01  Employment by industry, annual"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21167","Share of non-agricultural AFS employment in total employment","1","Total","2021","2021","6121","Value","3044","FAO Model","%","14.42","X","Figure from external organization","Derived from Statistics Canada. Table 14-10-0202-01  Employment by industry, annual"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21167","Share of non-agricultural AFS employment in total employment","1","Total","2022","2022","6121","Value","3044","FAO Model","%","14.73","X","Figure from external organization","Derived from Statistics Canada. Table 14-10-0202-01  Employment by industry, annual"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21144","Employment in agriculture - ILO modelled estimates","1","Total","2016","2016","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","361.91","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21144","Employment in agriculture - ILO modelled estimates","1","Total","2017","2017","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","288.02","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21144","Employment in agriculture - ILO modelled estimates","1","Total","2018","2018","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","293.39","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21144","Employment in agriculture - ILO modelled estimates","1","Total","2019","2019","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","303","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21144","Employment in agriculture - ILO modelled estimates","1","Total","2020","2020","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","288.34","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21144","Employment in agriculture - ILO modelled estimates","1","Total","2021","2021","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","266.6","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21144","Employment in agriculture - ILO modelled estimates","1","Total","2022","2022","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","264.74","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21144","Employment in agriculture - ILO modelled estimates","1","Total","2023","2023","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","261.65","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21144","Employment in agriculture - ILO modelled estimates","2","Male","2016","2016","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","262.53","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21144","Employment in agriculture - ILO modelled estimates","2","Male","2017","2017","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","201.42","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21144","Employment in agriculture - ILO modelled estimates","2","Male","2018","2018","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","205.71","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21144","Employment in agriculture - ILO modelled estimates","2","Male","2019","2019","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","208.72","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21144","Employment in agriculture - ILO modelled estimates","2","Male","2020","2020","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","199.01","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21144","Employment in agriculture - ILO modelled estimates","2","Male","2021","2021","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","182.09","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21144","Employment in agriculture - ILO modelled estimates","2","Male","2022","2022","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","185.01","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21144","Employment in agriculture - ILO modelled estimates","2","Male","2023","2023","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","178.74","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21144","Employment in agriculture - ILO modelled estimates","3","Female","2016","2016","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","99.38","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21144","Employment in agriculture - ILO modelled estimates","3","Female","2017","2017","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","86.6","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21144","Employment in agriculture - ILO modelled estimates","3","Female","2018","2018","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","87.68","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21144","Employment in agriculture - ILO modelled estimates","3","Female","2019","2019","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","94.28","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21144","Employment in agriculture - ILO modelled estimates","3","Female","2020","2020","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","89.33","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21144","Employment in agriculture - ILO modelled estimates","3","Female","2021","2021","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","84.51","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21144","Employment in agriculture - ILO modelled estimates","3","Female","2022","2022","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","79.73","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21144","Employment in agriculture - ILO modelled estimates","3","Female","2023","2023","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","82.91","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21156","Share of employment in agriculture in total employment - ILO Modelled Estimates","1","Total","2016","2016","6121","Value","3043","ILO - ILO Modelled Estimates","%","1.9","X","Figure from external organization",""
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21156","Share of employment in agriculture in total employment - ILO Modelled Estimates","1","Total","2017","2017","6121","Value","3043","ILO - ILO Modelled Estimates","%","1.5","X","Figure from external organization",""
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21156","Share of employment in agriculture in total employment - ILO Modelled Estimates","1","Total","2018","2018","6121","Value","3043","ILO - ILO Modelled Estimates","%","1.5","X","Figure from external organization",""
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21156","Share of employment in agriculture in total employment - ILO Modelled Estimates","1","Total","2019","2019","6121","Value","3043","ILO - ILO Modelled Estimates","%","1.5","X","Figure from external organization",""
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21156","Share of employment in agriculture in total employment - ILO Modelled Estimates","1","Total","2020","2020","6121","Value","3043","ILO - ILO Modelled Estimates","%","1.6","X","Figure from external organization",""
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21156","Share of employment in agriculture in total employment - ILO Modelled Estimates","1","Total","2021","2021","6121","Value","3043","ILO - ILO Modelled Estimates","%","1.4","X","Figure from external organization",""
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21156","Share of employment in agriculture in total employment - ILO Modelled Estimates","1","Total","2022","2022","6121","Value","3043","ILO - ILO Modelled Estimates","%","1.3","X","Figure from external organization",""
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21156","Share of employment in agriculture in total employment - ILO Modelled Estimates","1","Total","2023","2023","6121","Value","3043","ILO - ILO Modelled Estimates","%","1.3","X","Figure from external organization",""
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21156","Share of employment in agriculture in total employment - ILO Modelled Estimates","2","Male","2016","2016","6121","Value","3043","ILO - ILO Modelled Estimates","%","2.7","X","Figure from external organization",""
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21156","Share of employment in agriculture in total employment - ILO Modelled Estimates","2","Male","2017","2017","6121","Value","3043","ILO - ILO Modelled Estimates","%","2","X","Figure from external organization",""
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21156","Share of employment in agriculture in total employment - ILO Modelled Estimates","2","Male","2018","2018","6121","Value","3043","ILO - ILO Modelled Estimates","%","2","X","Figure from external organization",""
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21156","Share of employment in agriculture in total employment - ILO Modelled Estimates","2","Male","2019","2019","6121","Value","3043","ILO - ILO Modelled Estimates","%","2","X","Figure from external organization",""
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21156","Share of employment in agriculture in total employment - ILO Modelled Estimates","2","Male","2020","2020","6121","Value","3043","ILO - ILO Modelled Estimates","%","2","X","Figure from external organization",""
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21156","Share of employment in agriculture in total employment - ILO Modelled Estimates","2","Male","2021","2021","6121","Value","3043","ILO - ILO Modelled Estimates","%","1.8","X","Figure from external organization",""
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21156","Share of employment in agriculture in total employment - ILO Modelled Estimates","2","Male","2022","2022","6121","Value","3043","ILO - ILO Modelled Estimates","%","1.7","X","Figure from external organization",""
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21156","Share of employment in agriculture in total employment - ILO Modelled Estimates","2","Male","2023","2023","6121","Value","3043","ILO - ILO Modelled Estimates","%","1.7","X","Figure from external organization",""
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21156","Share of employment in agriculture in total employment - ILO Modelled Estimates","3","Female","2016","2016","6121","Value","3043","ILO - ILO Modelled Estimates","%","1.1","X","Figure from external organization",""
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21156","Share of employment in agriculture in total employment - ILO Modelled Estimates","3","Female","2017","2017","6121","Value","3043","ILO - ILO Modelled Estimates","%","1","X","Figure from external organization",""
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21156","Share of employment in agriculture in total employment - ILO Modelled Estimates","3","Female","2018","2018","6121","Value","3043","ILO - ILO Modelled Estimates","%","1","X","Figure from external organization",""
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21156","Share of employment in agriculture in total employment - ILO Modelled Estimates","3","Female","2019","2019","6121","Value","3043","ILO - ILO Modelled Estimates","%","1","X","Figure from external organization",""
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21156","Share of employment in agriculture in total employment - ILO Modelled Estimates","3","Female","2020","2020","6121","Value","3043","ILO - ILO Modelled Estimates","%","1","X","Figure from external organization",""
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21156","Share of employment in agriculture in total employment - ILO Modelled Estimates","3","Female","2021","2021","6121","Value","3043","ILO - ILO Modelled Estimates","%","0.9","X","Figure from external organization",""
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21156","Share of employment in agriculture in total employment - ILO Modelled Estimates","3","Female","2022","2022","6121","Value","3043","ILO - ILO Modelled Estimates","%","0.8","X","Figure from external organization",""
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21156","Share of employment in agriculture in total employment - ILO Modelled Estimates","3","Female","2023","2023","6121","Value","3043","ILO - ILO Modelled Estimates","%","0.8","X","Figure from external organization",""
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21085","Agriculture value added per worker (constant 2015 US$)","1","Total","2016","2016","6228","Value","3047","ILO - Modelled Estimates; FAOSTAT - Value added (2015 US$)","USD","83701.64","X","Figure from external organization",""
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21085","Agriculture value added per worker (constant 2015 US$)","1","Total","2017","2017","6228","Value","3047","ILO - Modelled Estimates; FAOSTAT - Value added (2015 US$)","USD","107591.8","X","Figure from external organization",""
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21085","Agriculture value added per worker (constant 2015 US$)","1","Total","2018","2018","6228","Value","3047","ILO - Modelled Estimates; FAOSTAT - Value added (2015 US$)","USD","105216","X","Figure from external organization",""
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21085","Agriculture value added per worker (constant 2015 US$)","1","Total","2019","2019","6228","Value","3047","ILO - Modelled Estimates; FAOSTAT - Value added (2015 US$)","USD","104227.58","X","Figure from external organization",""
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21085","Agriculture value added per worker (constant 2015 US$)","1","Total","2020","2020","6228","Value","3047","ILO - Modelled Estimates; FAOSTAT - Value added (2015 US$)","USD","110701.84","X","Figure from external organization",""
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21085","Agriculture value added per worker (constant 2015 US$)","1","Total","2021","2021","6228","Value","3047","ILO - Modelled Estimates; FAOSTAT - Value added (2015 US$)","USD","111750.46","X","Figure from external organization",""
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21085","Agriculture value added per worker (constant 2015 US$)","1","Total","2022","2022","6228","Value","3047","ILO - Modelled Estimates; FAOSTAT - Value added (2015 US$)","USD","124007.88","X","Figure from external organization",""
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21085","Agriculture value added per worker (constant 2015 US$)","1","Total","2023","2023","6228","Value","3047","ILO - Modelled Estimates; FAOSTAT - Value added (2015 US$)","USD","127320.77","X","Figure from external organization",""
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21066","Employment in agriculture by age, total (15+)","1","Total","2016","2016","6199","Value","3023","Labour force survey","1000 No","284.62","X","Figure from external organization","Nonstandard economic activity: Excluding fishing | Nonstandard economic activity: Excluding forestry Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21066","Employment in agriculture by age, total (15+)","1","Total","2017","2017","6199","Value","3023","Labour force survey","1000 No","278.9","X","Figure from external organization","Nonstandard economic activity: Excluding fishing | Nonstandard economic activity: Excluding forestry Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21066","Employment in agriculture by age, total (15+)","1","Total","2018","2018","6199","Value","3023","Labour force survey","1000 No","284.38","X","Figure from external organization","Nonstandard economic activity: Excluding fishing | Nonstandard economic activity: Excluding forestry Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21066","Employment in agriculture by age, total (15+)","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 No","294.08","X","Figure from external organization","Nonstandard economic activity: Excluding fishing | Nonstandard economic activity: Excluding forestry Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21066","Employment in agriculture by age, total (15+)","1","Total","2020","2020","6199","Value","3023","Labour force survey","1000 No","279.8","X","Figure from external organization","Nonstandard economic activity: Excluding fishing | Nonstandard economic activity: Excluding forestry Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21066","Employment in agriculture by age, total (15+)","1","Total","2021","2021","6199","Value","3023","Labour force survey","1000 No","258.54","X","Figure from external organization","Nonstandard economic activity: Excluding fishing | Nonstandard economic activity: Excluding forestry Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21066","Employment in agriculture by age, total (15+)","1","Total","2022","2022","6199","Value","3023","Labour force survey","1000 No","257.3","X","Figure from external organization","Nonstandard economic activity: Excluding fishing | Nonstandard economic activity: Excluding forestry Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21066","Employment in agriculture by age, total (15+)","1","Total","2023","2023","6199","Value","3023","Labour force survey","1000 No","256.48","X","Figure from external organization","Nonstandard economic activity: Excluding fishing | Nonstandard economic activity: Excluding forestry Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21066","Employment in agriculture by age, total (15+)","2","Male","2016","2016","6199","Value","3023","Labour force survey","1000 No","199.28","X","Figure from external organization","Nonstandard economic activity: Excluding fishing | Nonstandard economic activity: Excluding forestry Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21066","Employment in agriculture by age, total (15+)","2","Male","2017","2017","6199","Value","3023","Labour force survey","1000 No","194.48","X","Figure from external organization","Nonstandard economic activity: Excluding fishing | Nonstandard economic activity: Excluding forestry Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21066","Employment in agriculture by age, total (15+)","2","Male","2018","2018","6199","Value","3023","Labour force survey","1000 No","198.84","X","Figure from external organization","Nonstandard economic activity: Excluding fishing | Nonstandard economic activity: Excluding forestry Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21066","Employment in agriculture by age, total (15+)","2","Male","2019","2019","6199","Value","3023","Labour force survey","1000 No","202.02","X","Figure from external organization","Nonstandard economic activity: Excluding fishing | Nonstandard economic activity: Excluding forestry Repository: ILO-STATISTICS - Micro data processing"
