Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change on land","124","Canada","7271","Temperature change","7002","February","2019","2019","°c","-1.445","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7002","February","2020","2020","°c","1.501","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7002","February","2021","2021","°c","0.077","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7002","February","2022","2022","°c","-0.765","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7002","February","2023","2023","°c","-0.735","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7002","February","2016","2016","°c","2.308","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7002","February","2017","2017","°c","2.308","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7002","February","2018","2018","°c","2.308","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7002","February","2019","2019","°c","2.308","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7002","February","2020","2020","°c","2.308","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7002","February","2021","2021","°c","2.308","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7002","February","2022","2022","°c","2.308","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7002","February","2023","2023","°c","2.308","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7003","March","2016","2016","°c","3.05","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7003","March","2017","2017","°c","0.62","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7003","March","2018","2018","°c","2.468","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7003","March","2019","2019","°c","3.156","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7003","March","2020","2020","°c","0.776","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7003","March","2021","2021","°c","2.438","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7003","March","2022","2022","°c","2.321","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7003","March","2023","2023","°c","1.216","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7003","March","2016","2016","°c","1.874","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7003","March","2017","2017","°c","1.874","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7003","March","2018","2018","°c","1.874","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7003","March","2019","2019","°c","1.874","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7003","March","2020","2020","°c","1.874","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7003","March","2021","2021","°c","1.874","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7003","March","2022","2022","°c","1.874","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7003","March","2023","2023","°c","1.874","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7004","April","2016","2016","°c","0.477","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7004","April","2017","2017","°c","0.859","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7004","April","2018","2018","°c","-1.083","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7004","April","2019","2019","°c","0.827","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7004","April","2020","2020","°c","-0.113","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7004","April","2021","2021","°c","1.957","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7004","April","2022","2022","°c","-0.078","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7004","April","2023","2023","°c","1.675","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7004","April","2016","2016","°c","1.407","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7004","April","2017","2017","°c","1.407","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7004","April","2018","2018","°c","1.407","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7004","April","2019","2019","°c","1.407","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7004","April","2020","2020","°c","1.407","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7004","April","2021","2021","°c","1.407","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7004","April","2022","2022","°c","1.407","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7004","April","2023","2023","°c","1.407","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7005","May","2016","2016","°c","2.225","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7005","May","2017","2017","°c","1.527","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7005","May","2018","2018","°c","0.656","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7005","May","2019","2019","°c","1.021","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7005","May","2020","2020","°c","-0.057","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7005","May","2021","2021","°c","0.406","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7005","May","2022","2022","°c","0.675","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7005","May","2023","2023","°c","3.489","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7005","May","2016","2016","°c","1.008","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7005","May","2017","2017","°c","1.008","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7005","May","2018","2018","°c","1.008","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7005","May","2019","2019","°c","1.008","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7005","May","2020","2020","°c","1.008","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7005","May","2021","2021","°c","1.008","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7005","May","2022","2022","°c","1.008","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7005","May","2023","2023","°c","1.008","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7006","June","2016","2016","°c","1.514","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7006","June","2017","2017","°c","1.046","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7006","June","2018","2018","°c","0.577","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7006","June","2019","2019","°c","1.047","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7006","June","2020","2020","°c","1.121","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7006","June","2021","2021","°c","2.062","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7006","June","2022","2022","°c","1.666","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7006","June","2023","2023","°c","2.384","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7006","June","2016","2016","°c","0.647","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7006","June","2017","2017","°c","0.647","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7006","June","2018","2018","°c","0.647","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7006","June","2019","2019","°c","0.647","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7006","June","2020","2020","°c","0.647","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7006","June","2021","2021","°c","0.647","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7006","June","2022","2022","°c","0.647","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7006","June","2023","2023","°c","0.647","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7007","July","2016","2016","°c","1.238","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7007","July","2017","2017","°c","0.847","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7007","July","2018","2018","°c","1.324","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7007","July","2019","2019","°c","0.899","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7007","July","2020","2020","°c","1.831","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7007","July","2021","2021","°c","1.173","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7007","July","2022","2022","°c","1.708","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7007","July","2023","2023","°c","2.102","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7007","July","2016","2016","°c","0.497","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7007","July","2017","2017","°c","0.497","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7007","July","2018","2018","°c","0.497","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7007","July","2019","2019","°c","0.497","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7007","July","2020","2020","°c","0.497","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7007","July","2021","2021","°c","0.497","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7007","July","2022","2022","°c","0.497","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7007","July","2023","2023","°c","0.497","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7008","August","2016","2016","°c","1.669","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7008","August","2017","2017","°c","1.401","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7008","August","2018","2018","°c","0.627","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7008","August","2019","2019","°c","0.78","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7008","August","2020","2020","°c","1.485","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7008","August","2021","2021","°c","1.328","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7008","August","2022","2022","°c","2.291","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7008","August","2023","2023","°c","1.846","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7008","August","2016","2016","°c","0.562","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7008","August","2017","2017","°c","0.562","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7008","August","2018","2018","°c","0.562","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7008","August","2019","2019","°c","0.562","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7008","August","2020","2020","°c","0.562","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7008","August","2021","2021","°c","0.562","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7008","August","2022","2022","°c","0.562","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7008","August","2023","2023","°c","0.562","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7009","September","2016","2016","°c","1.698","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7009","September","2017","2017","°c","2.056","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7009","September","2018","2018","°c","-0.857","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7009","September","2019","2019","°c","1.641","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7009","September","2020","2020","°c","1.151","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7009","September","2021","2021","°c","2.186","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7009","September","2022","2022","°c","2.705","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7009","September","2023","2023","°c","3.251","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7009","September","2016","2016","°c","0.881","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7009","September","2017","2017","°c","0.881","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7009","September","2018","2018","°c","0.881","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7009","September","2019","2019","°c","0.881","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7009","September","2020","2020","°c","0.881","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7009","September","2021","2021","°c","0.881","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7009","September","2022","2022","°c","0.881","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7009","September","2023","2023","°c","0.881","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7010","October","2016","2016","°c","0.515","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7010","October","2017","2017","°c","1.432","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7010","October","2018","2018","°c","-0.895","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7010","October","2019","2019","°c","1.594","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7010","October","2020","2020","°c","0.075","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7010","October","2021","2021","°c","4.101","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7010","October","2022","2022","°c","2.876","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7010","October","2023","2023","°c","3.044","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7010","October","2016","2016","°c","1.192","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7010","October","2017","2017","°c","1.192","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7010","October","2018","2018","°c","1.192","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7010","October","2019","2019","°c","1.192","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7010","October","2020","2020","°c","1.192","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7010","October","2021","2021","°c","1.192","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7010","October","2022","2022","°c","1.192","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7010","October","2023","2023","°c","1.192","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7011","November","2016","2016","°c","4.671","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7011","November","2017","2017","°c","-0.222","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7011","November","2018","2018","°c","-0.712","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7011","November","2019","2019","°c","1.27","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7011","November","2020","2020","°c","0.868","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7011","November","2021","2021","°c","2.925","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7011","November","2022","2022","°c","0.328","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7011","November","2023","2023","°c","3.499","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7011","November","2016","2016","°c","1.368","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7011","November","2017","2017","°c","1.368","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7011","November","2018","2018","°c","1.368","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7011","November","2019","2019","°c","1.368","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7011","November","2020","2020","°c","1.368","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7011","November","2021","2021","°c","1.368","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7011","November","2022","2022","°c","1.368","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7011","November","2023","2023","°c","1.368","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7012","December","2016","2016","°c","0.758","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7012","December","2017","2017","°c","2.009","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7012","December","2018","2018","°c","3.464","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7012","December","2019","2019","°c","2.441","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7012","December","2020","2020","°c","4.69","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7012","December","2021","2021","°c","0.731","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7012","December","2022","2022","°c","1.444","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7012","December","2023","2023","°c","7.821","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7012","December","2016","2016","°c","2.243","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7012","December","2017","2017","°c","2.243","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7012","December","2018","2018","°c","2.243","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7012","December","2019","2019","°c","2.243","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7012","December","2020","2020","°c","2.243","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7012","December","2021","2021","°c","2.243","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7012","December","2022","2022","°c","2.243","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7012","December","2023","2023","°c","2.243","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7016","Dec–Jan–Feb","2016","2016","°c","4.042","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7016","Dec–Jan–Feb","2017","2017","°c","2.992","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7016","Dec–Jan–Feb","2018","2018","°c","1.423","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7016","Dec–Jan–Feb","2019","2019","°c","1.241","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7016","Dec–Jan–Feb","2020","2020","°c","2.263","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7016","Dec–Jan–Feb","2021","2021","°c","3.946","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7016","Dec–Jan–Feb","2022","2022","°c","0.315","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7016","Dec–Jan–Feb","2023","2023","°c","1.991","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7016","Dec–Jan–Feb","2016","2016","°c","1.385","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7016","Dec–Jan–Feb","2017","2017","°c","1.385","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7016","Dec–Jan–Feb","2018","2018","°c","1.385","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7016","Dec–Jan–Feb","2019","2019","°c","1.385","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7016","Dec–Jan–Feb","2020","2020","°c","1.385","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7016","Dec–Jan–Feb","2021","2021","°c","1.385","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7016","Dec–Jan–Feb","2022","2022","°c","1.385","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7016","Dec–Jan–Feb","2023","2023","°c","1.385","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7017","Mar–Apr–May","2016","2016","°c","1.917","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7017","Mar–Apr–May","2017","2017","°c","1.002","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7017","Mar–Apr–May","2018","2018","°c","0.68","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7017","Mar–Apr–May","2019","2019","°c","1.668","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7017","Mar–Apr–May","2020","2020","°c","0.202","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7017","Mar–Apr–May","2021","2021","°c","1.6","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7017","Mar–Apr–May","2022","2022","°c","0.973","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7017","Mar–Apr–May","2023","2023","°c","2.127","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7017","Mar–Apr–May","2016","2016","°c","1.048","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7017","Mar–Apr–May","2017","2017","°c","1.048","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7017","Mar–Apr–May","2018","2018","°c","1.048","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7017","Mar–Apr–May","2019","2019","°c","1.048","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7017","Mar–Apr–May","2020","2020","°c","1.048","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7017","Mar–Apr–May","2021","2021","°c","1.048","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7017","Mar–Apr–May","2022","2022","°c","1.048","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7017","Mar–Apr–May","2023","2023","°c","1.048","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7018","Jun–Jul–Aug","2016","2016","°c","1.474","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7018","Jun–Jul–Aug","2017","2017","°c","1.098","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7018","Jun–Jul–Aug","2018","2018","°c","0.843","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7018","Jun–Jul–Aug","2019","2019","°c","0.909","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7018","Jun–Jul–Aug","2020","2020","°c","1.479","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7018","Jun–Jul–Aug","2021","2021","°c","1.521","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7018","Jun–Jul–Aug","2022","2022","°c","1.888","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7018","Jun–Jul–Aug","2023","2023","°c","2.111","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7018","Jun–Jul–Aug","2016","2016","°c","0.462","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7018","Jun–Jul–Aug","2017","2017","°c","0.462","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7018","Jun–Jul–Aug","2018","2018","°c","0.462","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7018","Jun–Jul–Aug","2019","2019","°c","0.462","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7018","Jun–Jul–Aug","2020","2020","°c","0.462","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7018","Jun–Jul–Aug","2021","2021","°c","0.462","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7018","Jun–Jul–Aug","2022","2022","°c","0.462","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7018","Jun–Jul–Aug","2023","2023","°c","0.462","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7019","Sep–Oct–Nov","2016","2016","°c","2.295","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7019","Sep–Oct–Nov","2017","2017","°c","1.089","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7019","Sep–Oct–Nov","2018","2018","°c","-0.821","E","Estimated value"
